[I 2024-06-07 17:43:32,946] Trial 12 finished with value: 0.10053805679731155 and parameters: {'layers': 5, 'max_depth': 2, 'C': 1519}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 17:57:25,685] Trial 13 finished with value: 0.10416616424689064 and parameters: {'layers': 9, 'max_depth': 2, 'C': 1516}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 18:08:36,020] Trial 14 finished with value: 0.10327048095782777 and parameters: {'layers': 6, 'max_depth': 2, 'C': 1619}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 18:20:39,189] Trial 15 finished with value: 0.10991070466349993 and parameters: {'layers': 10, 'max_depth': 1, 'C': 1291}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 18:30:31,219] Trial 16 finished with value: 0.10404632203592723 and parameters: {'layers': 5, 'max_depth': 2, 'C': 1714}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 18:39:11,882] Trial 17 finished with value: 0.1304310826294218 and parameters: {'layers': 7, 'max_depth': 1, 'C': 1729}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 18:54:18,713] Trial 18 finished with value: 0.1029186885557863 and parameters: {'layers': 12, 'max_depth': 2, 'C': 1214}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 19:05:14,538] Trial 19 finished with value: 0.1051987549589745 and parameters: {'layers': 7, 'max_depth': 3, 'C': 1821}. Best is trial 3 with value: 0.1000460108925244.
[I 2024-06-07 19:10:01,219] A new study created in memory with name: no-name-bf4a0ecf-4e04-4e2e-9094-ec26bde6deaf
Boosted Forest Reynolds y_6 0.09537832769763327 0.2173580983090758 -4.5 26.4
[I 2024-06-07 19:23:44,640] Trial 0 finished with value: 0.28501960816296273 and parameters: {'layers': 12, 'max_depth': 3, 'C': 1191}. Best is trial 0 with value: 0.28501960816296273.
[I 2024-06-07 19:36:45,528] Trial 1 finished with value: 0.2810012469420604 and parameters: {'layers': 12, 'max_depth': 1, 'C': 1101}. Best is trial 1 with value: 0.2810012469420604.
