[I 2024-05-27 17:40:48,717] A new study created in memory with name: no-name-f1ed3c11-01bd-4200-abc5-aaae8f6f3d22
[I 2024-05-27 19:00:01,295] Trial 7 finished with value: 58.41176191886738 and parameters: {'lr': 0.06168944541874182, 'hs': 5, 'en': 120, 'dropout': 0.005849599830863994}. Best is trial 4 with value: 34.56200891054001.
[I 2024-05-27 19:00:29,965] Trial 8 finished with value: 58.4838213173804 and parameters: {'lr': 0.032342412587081974, 'hs': 7, 'en': 16, 'dropout': 0.007072273491091345}. Best is trial 4 with value: 34.56200891054001.
[I 2024-05-27 19:05:07,307] Trial 9 finished with value: 21.63760983896253 and parameters: {'lr': 0.006127893621563848, 'hs': 4, 'en': 269, 'dropout': 0.004735286787054135}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:13:27,581] Trial 10 finished with value: 39.26593566595796 and parameters: {'lr': 0.030827771555991795, 'hs': 2, 'en': 486, 'dropout': 9.210875682550898e-05}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:18:14,515] Trial 11 finished with value: 80.64071428388873 and parameters: {'lr': 0.00019719076059946695, 'hs': 4, 'en': 278, 'dropout': 0.009863498589176475}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:23:42,294] Trial 12 finished with value: 352.6402795321269 and parameters: {'lr': 0.021740901358499702, 'hs': 4, 'en': 317, 'dropout': 0.005661515509667344}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:27:25,347] Trial 13 finished with value: 44.644875599148094 and parameters: {'lr': 0.015425527896301734, 'hs': 6, 'en': 213, 'dropout': 0.008053813162101832}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:33:11,884] Trial 14 finished with value: 40.47080114778374 and parameters: {'lr': 0.046012814203123434, 'hs': 6, 'en': 337, 'dropout': 0.004217190177582184}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:36:43,610] Trial 15 finished with value: 58.48702582554137 and parameters: {'lr': 0.01441525108868319, 'hs': 3, 'en': 201, 'dropout': 0.00849150254908981}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:42:30,417] Trial 16 finished with value: 58.42180221416146 and parameters: {'lr': 0.047475911821617936, 'hs': 3, 'en': 339, 'dropout': 0.006410844975018525}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:50:32,671] Trial 17 finished with value: 39.51525638109973 and parameters: {'lr': 0.008883732993970234, 'hs': 5, 'en': 476, 'dropout': 0.004662845418582214}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:51:29,565] Trial 18 finished with value: 57.940909788403566 and parameters: {'lr': 0.09919394167122245, 'hs': 7, 'en': 46, 'dropout': 0.0026529833870255295}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:55:22,369] Trial 19 finished with value: 58.58964539820327 and parameters: {'lr': 0.02900093793665767, 'hs': 4, 'en': 221, 'dropout': 0.008697651993537977}. Best is trial 9 with value: 21.63760983896253.
[I 2024-05-27 19:57:39,930] A new study created in memory with name: no-name-c6200572-c902-479e-a08a-428399f98c56
TKAN Reynolds y_7 53.565438783419786 6.419851389142121 -5.8 25.3
